,0
0,2021-01-09 11:32:08.449
1,2021-01-09 11:32:08.449
2,2021-01-09 11:32:08.449
3,2021-01-09 11:32:08.511
4,2021-01-09 11:32:08.511
5,2021-01-09 11:32:08.511
6,2021-01-09 11:32:32.276
7,2021-01-09 11:32:32.276
8,2021-01-09 11:32:32.276
9,2021-01-09 11:32:43.237
10,2021-01-09 11:32:43.237
11,2021-01-09 11:32:43.237
12,2021-01-09 11:32:45.502
13,2021-01-09 11:32:45.502
14,2021-01-09 11:32:45.502
15,2021-01-09 11:32:47.398
16,2021-01-09 11:32:47.398
17,2021-01-09 11:32:47.398
18,2021-01-09 11:32:47.403
19,2021-01-09 11:32:47.403
20,2021-01-09 11:32:47.403
21,2021-01-09 11:32:47.407
22,2021-01-09 11:32:47.407
23,2021-01-09 11:32:47.407
24,2021-01-09 11:32:49.697
25,2021-01-09 11:32:49.697
26,2021-01-09 11:32:49.697
27,2021-01-09 11:32:49.701
28,2021-01-09 11:32:49.701
29,2021-01-09 11:32:49.701
30,2021-01-09 11:32:49.704
31,2021-01-09 11:32:49.704
32,2021-01-09 11:32:49.704
33,2021-01-09 11:32:51.598
34,2021-01-09 11:32:51.598
35,2021-01-09 11:32:51.598
36,2021-01-09 11:32:52.423
37,2021-01-09 11:32:52.423
38,2021-01-09 11:32:52.423
39,2021-01-09 11:32:55.563
40,2021-01-09 11:32:55.563
41,2021-01-09 11:32:55.563
