,userId,data,date,type,currentView,item
439,5e9b725d85157c0816f1f0dd,Checker,2021-01-06T00:58:10.870Z,TIMEDOUT,Checker,Challenge
1534,5e9b725d85157c0816f1f0dd,Checker,2021-01-06T00:58:22.597Z,TIMEDOUT,Checker,Challenge
1544,mario2,RepeatL3Corner9,2021-01-01T19:39:14.275Z,TIMEDOUT,RepeatL3Corner9,Combine
2537,5fe7673ee14422582703e754,Checker,2021-01-06T01:42:58.925Z,TIMEDOUT,Checker,Challenge
2769,chidera933,RepeatL3Corner9,2021-01-06T01:50:34.748Z,TIMEDOUT,RepeatL3Corner9,Combine
3582,5fe7673ee14422582703e754,Checker,2021-01-06T01:42:50.175Z,TIMEDOUT,Checker,Challenge
3796,chidera933,Checker,2021-01-06T01:50:40.239Z,TIMEDOUT,Checker,Challenge
4171,5d78647e4dadc9001a3e34dd,Checker,2021-01-06T01:06:17.447Z,TIMEDOUT,Checker,Challenge
4734,5fe7673ee14422582703e754,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""controls_repeat_ext""><value name=""TIMES""><shadow type=""math_number""><field name=""NUM"">10</field></shadow></value><statement name=""DO""><block type=""procedures_callnoargsnoreturn""><mutation name=""place 4""></mutation><next><block type=""karel_turn_left""><next><block type=""karel_move""><next><block type=""karel_move""><next><block type=""procedures_callnoargsnoreturn""><mutation name=""place 4""></mutation></block></next></block></next></block></next></block></next></block></statement><next><block type=""karel_turn_left""><next><block type=""karel_turn_left""><next><block type=""karel_turn_left""></block></next></block></next></block></next></block></statement></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""332""><field name=""NAME"">place 4</field><statement name=""STACK""><block type=""karel_place_stone""></block></statement></block></xml>",2021-01-06T01:31:37.274Z,TIMEDOUT,RepeatL3Corner9,Combine
4996,5f908c63832d32168d6d8f31,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""controls_repeat_ext""><value name=""TIMES""><shadow type=""math_number""><field name=""NUM"">10</field></shadow></value><statement name=""DO""><block type=""karel_turn_left""><next><block type=""karel_move""><next><block type=""karel_turn_left""><next><block type=""karel_turn_left""><next><block type=""karel_turn_left""><next><block type=""karel_move""><next><block type=""karel_turn_left""><next><block type=""karel_turn_left""><next><block type=""karel_turn_left""><next><block type=""karel_move""><next><block type=""karel_place_stone""><next><block type=""karel_turn_left""><next><block type=""karel_turn_left""><next><block type=""karel_turn_left""></block></next></block></next></block></next></block></next></block></next></block></next></block></next></block></next></block></next></block></next></block></next></block></next></block></next></block></statement></block></statement></block><block type=""karel_pickup_stone"" disabled=""true"" x=""197"" y=""524""><next><block type=""karel_place_stone"" disabled=""true""></block></next></block></xml>",2021-01-06T00:59:23.553Z,TIMEDOUT,RepeatL2PlaceRow,Repeat
5077,5fe7673ee14422582703e754,RepeatL3Corner9,2021-01-06T01:42:37.739Z,TIMEDOUT,RepeatL3Corner9,Combine
5128,5e9b725d85157c0816f1f0dd,Checker,2021-01-06T01:03:09.759Z,TIMEDOUT,Checker,Challenge
5134,5f908c63832d32168d6d8f31,RepeatL2PlaceRow,2021-01-06T00:59:30.022Z,TIMEDOUT,RepeatL2PlaceRow,Repeat
5661,5d78647e4dadc9001a3e34dd,Checker,2021-01-06T01:06:29.547Z,TIMEDOUT,Checker,Challenge
5860,5fe7673ee14422582703e754,RepeatL3Corner9,2021-01-06T01:31:42.931Z,TIMEDOUT,RepeatL3Corner9,Combine
6225,mario2,RepeatL3Corner9,2021-01-01T18:35:30.890Z,TIMEDOUT,RepeatL3Corner9,Combine
6379,5fe7673ee14422582703e754,Checker,2021-01-06T01:42:31.190Z,TIMEDOUT,Checker,Challenge
6474,5d78647e4dadc9001a3e34dd,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""><statement name=""program""><block type=""controls_repeat_ext""><value name=""TIMES""><shadow type=""math_number""><field name=""NUM"">10</field></shadow></value><statement name=""DO""><block type=""controls_repeat_ext""><value name=""TIMES""><shadow type=""math_number""><field name=""NUM"">2</field></shadow></value><statement name=""DO""><block type=""controls_repeat_ext""><value name=""TIMES""><shadow type=""math_number""><field name=""NUM"">4</field></shadow></value><statement name=""DO""><block type=""karel_pickup_stone""></block></statement><next><block type=""karel_move""><next><block type=""karel_move""></block></next></block></next></block></statement><next><block type=""controls_repeat_ext""><value name=""TIMES""><shadow type=""math_number""><field name=""NUM"">4</field></shadow></value><statement name=""DO""><block type=""karel_pickup_stone""></block></statement><next><block type=""karel_move""><next><block type=""karel_turn_left""><next><block type=""karel_move""><next><block type=""karel_turn_left""></block></next></block></next></block></next></block></next></block></next></block></statement></block></statement></block></xml>",2021-01-06T01:06:12.020Z,TIMEDOUT,Checker,Challenge
